Area,Year,"Stock, large animals","Stock, cattle","Stock, horse","Stock, donkey","Stock, mule","Stock, camel","Slaughtered, pig","Stock, pig","Stock, goat & sheep","Stock, goat","Stock, sheep","Slaughtered, cattle","Slaughtered, goat & sheep","Slaughtered, birds","Meat Production, livestocks","Meat Production, pig, cattle, goat & sheep","Meat Production, pig","Meat Production, cattle","Meat Production, goat & sheep","Milk Production, total","Milk Production, cow","Wool Production, sheep","Wool Production, sheep, fine","Wool Production, sheep, semi-fine","Wool Production, goat, thick","Wool Production, goat, cashmere","Egg Production, birds",Honey Production
Yunnan,2012,926.10134,747.16134,71.43,39.43,68.08,,3180.13,2708.64874,913.50246,816.148854,97.35360604,279.07,767.08,20410.55,348.679158,309.488458,264.08,31.857258,13.5512,57.99625,53.69975,1699,165,1103,149,10,22.1263,0.7511
Xizang,2012,643.5573,600.7573,33.35,7.82,1.63,,17.7284,34.3995,1525.916624,563.3684174,962.5482061,129.41,528.83,156.77,25.19389662,25.01967702,1.4552,15.05529702,8.50918,31.6,25.5612,8768.31,267.3,3276.95,1428.54,1006.18,0.429441,
Shaanxi,2012,165.8178,146.7978,0.7,13.49,4.83,,1127.91,900.24,644.929,542.8980748,102.0309252,51.86,440.28,4868.39,107.09285,97.80495,83.45,7.50085,6.8541,189.0751,141.7645,6682,2971,2142,2881,1714,51.8593,0.4989
Gansu,2012,587.64628,425.63628,14.36,102.49,43.03,2.13,672.3,590.7,1788.74816,380.118847,1408.629313,160.66,991.27,3558.8,87.81414,81.22104,48.6,16.72104,15.9,38.58786,37.97226,29484,9350,6143,1906,381,14.7,0.1003
Qinghai,2012,458.9764,425.1464,20.06,5.43,7.22,1.12,132.12255,116.68,1446.31,193.28,1253.03,99.96,614.63,396.52,30.47256,29.39256,9.44396,9.5613,10.3873,29.35432,27.55312,18076,469,5692,1073,398,2.01,0.1029
Ningxia,2012,103.9705,94.43,0.2139,6.8523,2.4531,,103.34,69.45,506.35,102.12,404.23,57.03,474.94,1140.96,26.52684862,24.02813,7.66732,7.90636,8.45445,103.488,103.488,8317,1470,1796,796,450,6.18,0.0946
Xinjiang,2012,565.77,365.93,86.84,97.97,1.06,13.97,427.6,265.43,3502.046553,525.3089343,2976.737619,222.26,3001.24,5758.79,134.2307749,114.3223749,30.15,36.1576026,48.0147723,136.3181,132.21,88490,27935,12754,3491,1225,25.88669555,1.1336
Beijing,2013,21.0863,20.35,0.2012,0.4426,0.0925,,314.39,189.23,59.47,15.8,43.67,11.2,70.8,8529.8,41.79569,27.87367,24.63,2.05,1.19367,61.46,61.46,270.7,21,43.3,58.3,33.4,17.5,0.2757
Tianjin,2013,28.7563,28.3226,0.0603,0.2658,0.1076,,381.68,200.99,45.43,5.49,39.94,19.1,64.9,8017.5,46.4806795,34.58806,29.82,3.28,1.48806,68.53,68.24,574.863,125.969,448.894,2.946,,18.89,0.0050105
Hebei,2013,482.5342929,390.6642929,18.07,53.64,20.16,,3452,1932.85,1455.140557,450.9405569,1004.2,325.3,2105.1,58573.2,448.7816188,346.6371188,265.2857143,52.3,29.05140453,465.6562,458,33105,5192,19327,2995,830,346.06,1.2142
Shanxi,2013,123.8608319,94.80893195,1.5199,15.63,11.901,0.001,786.1554,502.183692,877.9660049,387.4474113,490.5185935,36.1,446.2,7314.1,83.20597355,72.56734755,61.1676468,5.199768,6.19993275,87.2119466,86.2089536,8184.74,2992.6,3411.1632,1366.14655,787.17345,79.845748,0.456427
Neimenggu,2013,819.6053609,612.4316609,76.6346,90.9445,26.3531,13.2415,931.94,684.5,5239.20968,1511.93968,3727.27,320.2,5401.1,11364.4,244.9002474,213.9391674,73.35,51.78623604,88.80293136,778.5547,767.2986,110532,54193,19681,10154,7901,55.09,0.2354
Liaoning,2013,515.5304078,365.3676078,22.2212,111.8698,16.0718,,2785.7985,1624.5,735.4425,401,334.4425,287.2,734.3,75451.4,420.1198222,284.9387522,233.6449815,43.2432,8.050570653,125.743091,120.881781,14987.897,3845.955,10985.582,1558.232,995.893,276.8177374,0.1187046
Jilin,2013,503.0550228,437.6160228,34.6836,22.2356,8.5198,,1669.144992,1001.15136,396.198805,55.14276712,341.0560379,297,336.9,40038.5,262.6551428,185.5998428,136.3086982,45.04713444,4.244010136,48.34147855,47.58037855,18972,13376,5519,369,157,97.7,1.5255
Heilongjiang,2013,531.6830107,495.3830107,24.6,8.4,3.3,,1821.642503,1356.743592,817.7675707,247.0753977,570.6921729,256.2,723.7,20487.6,221.2810369,184.9160408,133.3620918,39.72930331,11.82464571,522.5199665,518.2265665,32129,5281,23790,1595,494,102.7010332,1.8023
Shanghai,2013,5.9126,5.9126,,,,,241.8373,184.7525,26.1132,24.91,1.2032,0.1,41.8,2641.9,23.75383794,18.8866018,18.33,,0.556601798,26.5286336,26.5286336,11.26,,,136.75,,5.6601458,0.105431
Jiangsu,2013,34.534,30.414,0.29,2.82,1.01,,3049.5622,1787.2629,403.0652882,393.5869882,9.4783,17.3,703.9,80098.7,383.2291269,240.8436269,229.8621,3.1913194,7.7902075,59.8912,59.8912,345,85,260,10,,197.8743,0.4059
Zhejiang,2013,17.47771,17.47771,,,,,1895.09,1287.53,109.96624,41.69624,68.27,8.3,104.8,20973.8,174.26793,141.57923,138.76,1.12585,1.69338,18.2133,18.21,1971.62,,1971.62,282.47,,43.09,7.9951
Anhui,2013,155.6556609,155.0882609,0.1113,0.3956,0.0605,,2971.53395,1612.589917,605.2830052,604.2170421,1.065963071,122.1,1045,72415.7,403.8256419,286.5587981,253.4151168,18.14511213,14.99856916,25.33927751,25.33927751,158.92,96.92,62,83.69,10.31,124.5341925,2.0109
Fujian,2013,68.87,68.8678,0.0022,,,,2092.046456,1296.244026,115.8401,115.8401,,25.6,150.4,33862.6,211.205445,162.4611808,157.7462808,2.6406,2.0743,15.303,14.9348,,,,,,25.03920812,1.0934
Jiangxi,2013,301.131,301.131,,,,,3150.26421,1708.02,56.23,56.23,,133.3,72.1,44532.1,321.9345,258.9363,245.1234,12.6929,1.12,12.2472,12.2472,,,,,,46.1214,1.392
Shandong,2013,514.3987029,500.0670029,2.9588,9.7655,1.6074,,4797.66496,2931.41093,2158.051,1600.330158,557.7208419,443.4,2967.3,183726.7,774.7712791,494.4775876,392.8943229,67.89594942,33.68731535,281.2219946,271.4307946,9640.413,1884.941,5600.049,3931.07,805.977,396.2068,0.6171573
Henan,2013,936.7953952,905.1053952,11.23,16.7,3.76,,5996.865,4426.7445,1830.3,1752.6,77.7,535.5,2032.4,94332.1,699.0511972,559.4442972,454.125,80.5608,24.75849723,328.7655,316.4161,8263,944,4854,6213,887,410.23255,9.9053
Hubei,2013,345.269775,344.070475,0.6066,0.4127,0.18,,4356.434683,2566.07084,462.9072288,462.7540288,0.1532,140.3,515,52210.1,430.0799039,358.9837864,330.5950066,20.17274359,8.216036246,15.78475352,15.40475352,3.557,,3.557,73.4245,0.4,145.05,2.3288842
Hunan,2013,448.1743,442.906,4.3913,0.7092,0.1678,,5902.3152,4096.9075,512.5,512.5,,155.8,657.6,41283.6,519.2256,459.4876,430.5932,18.1944,10.7,8.9,8.9,,,,5,1,95.6,1.181
Guangdong,2013,238.2044541,238.1898541,0.0146,,,,3744.79,2282.58,39.34,39.34,,58.4,49.9,104078.8,435.2274655,285.6309655,277.77195,6.9706819,0.8883336,14.0608,13.76,,,,4,,32.31,1.7655
Guangxi,2013,495.1282199,456.9882199,33.59,0.1,4.45,,3456.723687,2471.5332,202.16487,202.16487,,148.2,205.6,82218.5,420.0226614,278.9094764,261.3375,14.33124,3.240736438,9.55656,9.55656,,,,,,22.71462,1.2417
Hainan,2013,84.32646449,84.32646449,,,,,610.5,433.78,68.34,68.34,,27.3,79.1,15035,82.853358,54.15793,50.48,2.61793,1.06,0.226,0.226,,,,,,3.81,0.072786
Chongqing,2013,139.68,136.66,1.8,0.32,0.9,,2104.46,1502.25,185.23,185.07,0.16,59,227.4,23161.2,207.84959,165.55809,154.95,7.62,2.98809,6.8003,6.8,4,,4,2,,41.09,1.5689
Sichuan,2013,1050.704196,949.6968956,83.0033,7.9298,10.0742,,7314.075648,5004.095331,1689.185453,1460.895,228.2904531,264.7,1583.6,63774.7,690.3942087,566.4706959,510.8318208,31.09094611,24.547929,71.12079268,70.63249268,6106,1671,3243,695.175,33.825,145.2,4.5442
Guizhou,2013,536.8998075,460.6198075,73.39,0.2,2.69,,1832.28,1604.1,299.5889545,284.6273999,14.96155453,115.2,205.4,9681.6,199.7354165,181.3678265,163.73,14.131,3.506826501,5.4519,5.4519,462.513,104.733,288.3,58,1,15.44,0.2468
