Area,Year,Urban or Rural,Main Grain,"Main Grain, cereal",Edible Oil,"Edible Oil, vegetable",Vegetable & Fungus,Meat of Mammal,Pigmeat,Bovine Meat,Mutton & Goat Meat,Poultry Meat,"Fish, Seafood",Eggs,Milk,Melon & Fruit,Sugar
Hebei,2017,Urban,114.8,104,9.1,9.1,100.4,23,13.7,2.4,1.9,5.1,7.9,15.1,20.8,70.6,1
Shanxi,2017,Urban,114.3,100.8,8.3,8.3,88.7,16.8,10.5,1.3,1.7,2.9,3.4,11.5,19.9,64,0.9
Neimenggu,2017,Urban,140.8,127.6,9.6,9.4,99.8,35.3,15.5,5.3,9.6,5.9,6.2,10.4,28.4,69.4,1.6
Liaoning,2017,Urban,119.9,105.2,11.7,11.6,122.7,29.9,18.5,3.6,1.9,6.1,18.3,15.3,20.1,78.7,1.4
Jilin,2017,Urban,127.8,116.1,12.6,12.5,104.5,23,14.9,3.3,1.1,5,9.4,11.9,14,62.8,1.3
Heilongjiang,2017,Urban,132.6,118.5,13.9,13.8,104.9,25.5,15.9,2.6,1.9,5.7,10.2,12.7,14.6,71.1,1.9
Shanghai,2017,Urban,94.8,83.7,8.6,8.5,101.4,27.7,18.9,3.1,0.9,12.7,26.5,10.7,21.8,57.7,1.3
Jiangsu,2017,Urban,103.9,92,12.2,12.1,113.8,28.4,20.5,2.3,0.9,11.3,20.3,11.3,18.1,51.6,1.1
Zhejiang,2017,Urban,118.2,105.6,11.8,11.5,97.4,27.3,21.2,2.3,0.7,11.5,26.4,8.8,13.4,56.3,1.4
Anhui,2017,Urban,107,94.9,9.8,9.4,103.5,26.1,19.7,2.6,1.1,10.3,12.4,12,14.1,53.4,0.9
Fujian,2017,Urban,99.7,90.7,8.9,8.3,88.8,32.3,25.5,2.4,0.9,10.7,28.8,9.2,13.2,46.9,1.6
Jiangxi,2017,Urban,112.4,102.1,14.4,14.2,115.9,31.9,23.9,3.1,0.6,10.2,17,8.2,15.7,51.2,1.2
Shandong,2017,Urban,111.2,101.4,8.6,8.6,102.8,24.5,14.5,1.9,1.5,6.5,15.8,17.9,21.9,80.5,0.9
Henan,2017,Urban,119.7,107.9,9.3,9.2,99.2,20.5,12.9,1.8,1.8,6.5,5.4,15.9,18.3,68.1,1.2
Hubei,2017,Urban,92.1,80,11,10.8,119.5,28.9,21,2.4,0.8,6.5,18.5,7.9,9.5,49.8,0.8
Hunan,2017,Urban,103.5,94.6,13.2,11.2,106.7,35,27.9,3,0.9,10.5,15,8.1,8.9,62.1,1.4
Guangdong,2017,Urban,93.8,85.9,9,8.7,100.8,36.6,28.2,2.5,0.9,19.3,24.5,7.6,9.7,45.5,1.3
Guangxi,2017,Urban,97.7,89.1,8.8,8.1,99.1,36.6,29.3,3.2,1.2,20.1,14.3,6.4,9.6,51.6,1.6
Hainan,2017,Urban,89.9,84,9.7,9,108.4,33.8,27.6,2.7,1,22.9,29.4,5.5,6.6,40.5,1.2
Chongqing,2017,Urban,116.3,101.9,15.6,14.4,136.3,42.5,34,2.1,1,14.1,12.7,9.8,22.6,50.2,2.4
Sichuan,2017,Urban,130.7,117.3,13.2,12.4,139.3,43.8,35.8,2.7,0.7,11.9,9.5,8.9,16.9,51.2,1.8
Guizhou,2017,Urban,100.8,89.1,10.7,9.4,91.2,33.7,28.2,2.1,0.3,7.4,4.2,5.6,11.1,46.5,1.2
Yunnan,2017,Urban,105.7,93.9,9.5,7.9,106.5,31,23.6,3,0.6,8.1,5.8,5.2,10.4,45.1,1.6
Xizang,2017,Urban,185.3,18.3,23.7,19.2,74.9,50,14.1,21.5,14,5.1,3,8.5,21.2,32.7,1.1
Shaanxi,2017,Urban,122.4,107.1,10.9,10.7,107.4,17.4,11.8,1.1,1.5,3.8,4,10.3,21.5,70.3,1
Gansu,2017,Urban,119.6,108.1,10.6,10.5,104.3,20.9,12.1,2.6,3,5.2,4.2,9.3,24.5,78,1.9
Qinghai,2017,Urban,95.4,88.5,9.3,9.2,79.6,25.4,11.6,5.4,6.4,4.2,3.3,6.7,24.8,42.5,1.1
Ningxia,2017,Urban,95.9,89.2,7.6,7.6,96.6,17.1,6.6,3.9,5.1,6.1,3.8,6.8,18.7,77.9,1.4
Xinjiang,2017,Urban,132.5,126.2,14,14,117.1,24.3,6.5,5.5,10,7.7,6.1,9,30.4,71.8,1.5
"China, mainland",2015,Rural,159.5,150.2,10.1,9.2,90.3,23.1,19.5,0.8,0.9,7.1,7.2,8.3,6.3,32.3,1.3
Beijing,2015,Rural,105.6,95.9,9.4,9.4,91,23,15.3,1.5,2.6,4.2,5.6,11.7,13.9,52.1,1
Tianjin,2015,Rural,168.2,158.7,12.5,12.5,107.8,20.9,14.7,0.9,2.1,3.4,12.3,15.1,11,66.7,1.6
Hebei,2015,Rural,145.4,137.6,9.7,9.6,82.4,15.7,11.3,0.4,0.8,2.9,3.4,11.5,7.5,45.3,1.1
Shanxi,2015,Rural,153.6,138.4,7.6,7.5,66.2,10.5,8.3,0.2,0.6,1.4,1,9.1,8.4,33.1,1
Neimenggu,2015,Rural,170.4,159.6,5.7,5.4,69.4,26.7,17.5,2,6,3.9,2.6,7.3,12.5,32.5,1.2
Liaoning,2015,Rural,150.4,139.8,10.5,10.2,120.1,19.7,16.9,0.5,0.5,2.7,6,9.2,4.8,32.9,0.9
Jilin,2015,Rural,140.4,130.7,10.4,10.3,89.8,17.9,15.6,0.6,0.3,3.7,4.9,8.5,4.6,34.4,1
Heilongjiang,2015,Rural,142.7,132.7,13.5,13.4,66.4,14.8,11.8,0.5,0.4,3.5,4.9,6.5,4.5,37.6,1.4
Shanghai,2015,Rural,131.3,120.4,11.5,11.2,89,30,23.3,1.3,0.9,12.9,20.4,10,12.3,34.4,1.6
Jiangsu,2015,Rural,147.2,135.7,13,12.8,93.4,22.7,17.9,1,0.7,8.1,13.7,9.5,11.5,28.9,1.1
